country,year,quarter,account,cost_of_goods_usd,price_usd,sales_usd,quantity,avg_price_per_item,markup_ratio
Brazil,2022,2,Ebert-Altenwerth,6307.8062,528.9139,18125.88,34.27,528.9139,0.0839
Brazil,2022,2,Gottlieb-Hoeger,11377.2796,36.0387,17476.62,484.94,36.0387,0.0032
Brazil,2022,2,Greenholt Inc,13787.5181,106.2798,17586.12,165.47,106.2798,0.0077
Brazil,2022,2,"Halvorson, Fahey and Kilback",4604.0454,18.7415,11481.41,612.62,18.7415,0.0041
Brazil,2022,2,Hansen Group,7651.1277,173.7376,17078.41,98.3,173.7376,0.0227
Brazil,2022,2,Heaney Group,3059.3503,63.0009,7461.83,118.44,63.0009,0.0206
Brazil,2022,2,Hickle Group,7829.8601,21.6654,17917.3,827.0,21.6654,0.0028
Brazil,2022,2,Huel LLC,16755.0561,61.2803,36422.11,2078.04,17.5271,0.0037
Brazil,2022,2,Leannon Inc,3879.9395,7.3255,6965.78,950.89,7.3255,0.0019
Brazil,2022,2,Marvin Group,3283.6037,7.3571,7264.61,987.43,7.3571,0.0022
Brazil,2022,2,Quigley and Sons,11479.9272,1315.8384,21184.05,835.41,25.3577,0.1146
Brazil,2022,2,Smitham-Collier,13475.3121,40.1868,25165.3,1308.03,19.2391,0.003
Brazil,2022,2,"Stracke, Jakubowski and Halvorson",5571.5107,27.1151,13171.42,485.76,27.1151,0.0049
Brazil,2022,3,Carter Inc,1817.2809,8.0032,5457.3,681.89,8.0032,0.0044
Brazil,2022,3,Christiansen-Schuppe,11377.8635,25.1031,16513.59,657.83,25.1031,0.0022
Brazil,2022,3,D'Amore Inc,4128.316,12.3429,10807.11,875.57,12.3429,0.003
Brazil,2022,3,"Dooley, Boyle and Weissnat",5062.5286,17.8145,11883.87,667.09,17.8145,0.0035
Brazil,2022,3,Ebert-Altenwerth,4813.7022,50.9392,13952.76,273.91,50.9392,0.0106
Brazil,2022,3,Gorczany-Greenfelder,5454.3248,67.5277,12424.43,183.99,67.5277,0.0124
Brazil,2022,3,Hansen Group,14375.7432,64.6697,19746.9,305.35,64.6697,0.0045
Brazil,2022,3,Heaney Group,3496.4492,27.2239,6368.76,233.94,27.2239,0.0078
Brazil,2022,3,Hickle Group,20415.5324,48.4032,26285.93,1651.19,15.9194,0.0024
Brazil,2022,3,"Homenick, Ratke and Langosh",6400.7825,281.148,17978.23,820.42,21.9134,0.0439
Brazil,2022,3,Huel LLC,4501.708,384.6299,9477.28,24.64,384.6299,0.0854
Brazil,2022,3,"Kunde, Jerde and Pouros",7297.7512,69.1803,18153.61,262.41,69.1803,0.0095
Brazil,2022,3,Marvin Group,4021.1674,9.1152,5983.88,656.47,9.1152,0.0023
Brazil,2022,3,"Mohr, Collier and Powlowski",7803.6441,45.2664,13738.81,303.51,45.2664,0.0058
Brazil,2022,3,"Nienow, Mitchell and Hamill",11661.5869,95.3016,19211.84,201.59,95.3016,0.0082
Brazil,2022,3,Pfeffer and Sons,10961.5807,17.8043,12513.22,702.82,17.8043,0.0016
Brazil,2022,3,Quigley and Sons,20116.7582,69.6065,33546.85,1170.77,28.6537,0.0035
Brazil,2022,3,Rempel-Conroy,13163.0465,22.8401,16111.44,705.4,22.8401,0.0017
Brazil,2022,3,Rutherford-Muller,18058.6059,45.3841,20706.43,1168.69,17.7176,0.0025
Brazil,2022,3,Schaefer-Bernier,7642.132,51.6374,9735.2,188.53,51.6374,0.0068
Brazil,2022,3,"Stracke, Jakubowski and Halvorson",3140.722,7.9858,6039.85,756.32,7.9858,0.0025
Brazil,2022,4,Conroy-Swift,23563.4627,102.12,29264.22,641.79,45.5978,0.0043
Brazil,2022,4,"Dooley, Boyle and Weissnat",2303.8214,25.3744,5096.95,200.87,25.3744,0.011
Brazil,2022,4,Gleichner Group,4976.4008,11.8807,8886.43,747.97,11.8807,0.0024
Brazil,2022,4,Hickle Group,24081.8207,566.7683,29173.67,121.42,240.2707,0.0235
Brazil,2022,4,Kirlin and Sons,7667.068,36.5271,16494.55,896.12,18.4066,0.0048
Brazil,2022,4,Marvin Group,5947.3728,19.3648,8364.8,431.96,19.3648,0.0033
Brazil,2022,4,"Mayer, Schaden and Yost",6202.428,16.3872,15506.07,946.23,16.3872,0.0026
Brazil,2022,4,"Nienow, Mitchell and Hamill",10110.4807,19.9341,11463.13,575.05,19.9341,0.002
Brazil,2022,4,Quigley and Sons,14697.5536,96.2073,27485.15,1026.08,26.7866,0.0065
Brazil,2022,4,Sporer Inc,14413.9352,232.2581,19881.29,85.6,232.2581,0.0161
Brazil,2022,4,"Stracke, Jakubowski and Halvorson",3535.3244,10.173,9352.71,919.37,10.173,0.0029
Brazil,2022,4,Wisozk-Boehm,4848.995,52.2696,11409.4,218.28,52.2696,0.0108
Brazil,2023,1,"Dooley, Boyle and Weissnat",2209.7661,14.9249,6295.63,421.82,14.9249,0.0068
Brazil,2023,1,Ebert-Altenwerth,8529.4978,10.7983,10106.04,935.89,10.7983,0.0013
Brazil,2023,1,Glover Group,2595.9162,16.5875,7312.44,440.84,16.5875,0.0064
Brazil,2023,1,Gorczany-Greenfelder,8864.3071,62.2481,10440.88,167.73,62.2481,0.007
Brazil,2023,1,"Grant, Murphy and O'Kon",4828.3937,18.845,13301.36,705.83,18.845,0.0039
Brazil,2023,1,Hickle Group,5450.3924,20.1218,10708.04,532.16,20.1218,0.0037
Brazil,2023,1,"Homenick, Ratke and Langosh",7839.0269,118.5697,10167.35,85.75,118.5697,0.0151
Brazil,2023,1,"Hoppe, Conroy and Volkman",13347.7522,19.2511,16831.97,874.34,19.2511,0.0014
Brazil,2023,1,Huel LLC,6839.2958,440.5752,14613.88,33.17,440.5752,0.0644
Brazil,2023,1,"Nienow, Mitchell and Hamill",8836.2592,36.9567,10557.06,285.66,36.9567,0.0042
Brazil,2023,1,Nitzsche-Purdy,13357.0286,21.8342,16073.44,736.16,21.8342,0.0016
Brazil,2023,1,Smitham-Collier,7219.1987,24.5599,16596.57,1380.77,12.0198,0.0034
Brazil,2023,1,Stehr Inc,6768.5756,15.1701,13673.89,901.37,15.1701,0.0022
Brazil,2023,1,"Stracke, Jakubowski and Halvorson",4384.2729,16.236,11358.22,699.57,16.236,0.0037
Brazil,2023,1,"Torp, Emmerich and Roob",12593.4651,18.0447,15683.02,869.12,18.0447,0.0014
Brazil,2023,1,Wisozk-Boehm,4763.8104,12.7077,11534.65,907.69,12.7077,0.0027
Brazil,2023,2,Brown and Sons,8582.5889,77.624,16894.86,217.65,77.624,0.009
Brazil,2023,2,Christiansen-Schuppe,7174.4242,19.3592,13310.62,687.56,19.3592,0.0027
Brazil,2023,2,Conroy-Swift,12499.2767,24.7989,16577.29,668.47,24.7989,0.002
Brazil,2023,2,D'Amore Inc,15828.9792,551.1467,35292.96,366.69,96.2474,0.0348
Brazil,2023,2,Gottlieb-Hoeger,6292.6661,16.6065,13137.09,791.08,16.6065,0.0026
Brazil,2023,2,Hickle Group,23081.4383,179.7216,30522.82,715.61,42.6529,0.0078
Brazil,2023,2,"Hoppe, Conroy and Volkman",6222.5444,29.1406,16727.27,574.02,29.1406,0.0047
Brazil,2023,2,Kirlin and Sons,3470.0328,32.426,5931.68,182.93,32.426,0.0093
Brazil,2023,2,Marvin Group,10646.3352,23.093,14974.47,1300.28,11.5163,0.0022
Brazil,2023,2,Nitzsche-Purdy,3936.7185,133.0417,9070.78,68.18,133.0417,0.0338
Brazil,2023,2,Quigley and Sons,7021.7094,30.5248,15820.73,1089.76,14.5176,0.0043
Brazil,2023,2,Rutherford-Muller,7679.371,54.3799,18639.25,342.76,54.3799,0.0071
Brazil,2023,2,Smitham-Collier,9079.9406,11.9192,10248.24,859.81,11.9192,0.0013
Brazil,2023,2,Stehr Inc,6228.3812,60.3124,19164.25,317.75,60.3124,0.0097
Brazil,2023,2,"Stracke, Jakubowski and Halvorson",33436.071,213.2813,47653.98,1016.24,46.8924,0.0064
Brazil,2023,3,Brown and Sons,13022.6101,43.8276,19321.38,440.85,43.8276,0.0034
Brazil,2023,3,Conroy-Swift,4329.5446,16.5041,13159.71,797.36,16.5041,0.0038
Brazil,2023,3,Cruickshank Group,3850.1677,6.9574,5006.72,719.62,6.9574,0.0018
Brazil,2023,3,D'Amore Inc,6746.7348,391.3226,14263.71,36.45,391.3226,0.058
Brazil,2023,3,"Dach, Nicolas and Paucek",7386.1645,26.9207,13429.39,498.85,26.9207,0.0036
Brazil,2023,3,Ebert-Altenwerth,2494.8211,17.018,8047.81,472.9,17.018,0.0068
Brazil,2023,3,Glover Group,7465.6896,44.1773,11628.8,263.23,44.1773,0.0059
Brazil,2023,3,Gottlieb-Hoeger,8152.5139,46.9202,10177.92,216.92,46.9202,0.0058
Brazil,2023,3,"Grant, Murphy and O'Kon",11050.5542,32.5044,14559.36,447.92,32.5044,0.0029
Brazil,2023,3,Heaney Group,12753.4363,105.195,24430.44,776.68,31.455,0.0082
Brazil,2023,3,Hickle Group,26446.005,112.6761,48091.9,2196.4,21.8958,0.0043
Brazil,2023,3,"Homenick, Ratke and Langosh",29079.2765,174.1267,36874.83,460.59,80.06,0.006
Brazil,2023,3,"Hoppe, Conroy and Volkman",9022.4883,63.0266,16286.08,258.4,63.0266,0.007
Brazil,2023,3,Huel LLC,6089.881,17.777,10572.71,594.74,17.777,0.0029
Brazil,2023,3,Leannon Inc,5330.8017,13.2142,9368.72,708.99,13.2142,0.0025
Brazil,2023,3,Lowe-DuBuque,4075.4666,12.9262,6002.16,464.34,12.9262,0.0032
Brazil,2023,3,Pfeffer and Sons,13549.2576,18.0199,17875.01,991.96,18.0199,0.0013
Brazil,2023,3,Quigley and Sons,13773.2777,41.442,19317.36,466.13,41.442,0.003
Brazil,2023,3,Rutherford-Muller,6122.0851,16.3513,7219.44,441.52,16.3513,0.0027
Brazil,2023,3,Schaefer-Bernier,6709.7237,396.125,9823.9,24.8,396.125,0.059
Brazil,2023,3,Spencer-Emard,8441.1506,15.554,11195.16,719.76,15.554,0.0018
Brazil,2023,3,Stehr Inc,8698.1969,76.6723,14212.74,185.37,76.6723,0.0088
Brazil,2023,3,"Stracke, Jakubowski and Halvorson",2846.3158,34.9229,5773.46,165.32,34.9229,0.0123
Brazil,2023,4,"Anderson, Howe and Bradtke",4068.1816,21.6839,6860.34,316.38,21.6839,0.0053
Brazil,2023,4,Brown and Sons,16851.96,81.7365,36263.31,887.52,40.8591,0.0049
Brazil,2023,4,Conroy-Swift,12453.7821,101.9536,23462.26,486.0,48.2763,0.0082
Brazil,2023,4,"Dooley, Boyle and Weissnat",9606.1711,33.7261,18889.3,1420.81,13.2947,0.0035
Brazil,2023,4,Greenholt Inc,11378.853,313.7493,25921.17,883.4,29.3425,0.0276
Brazil,2023,4,Hickle Group,1829.9446,33.6538,6079.55,180.65,33.6538,0.0184
Brazil,2023,4,Huel LLC,19097.0087,44.5946,27597.13,1400.58,19.7041,0.0023
Brazil,2023,4,Kirlin and Sons,11889.4169,19.8594,15011.89,755.91,19.8594,0.0017
Brazil,2023,4,"Mayer, Schaden and Yost",5351.363,22.8021,11865.55,520.37,22.8021,0.0043
Brazil,2023,4,Schuster-Berge,8918.6546,106.718,15897.78,148.97,106.718,0.012
Brazil,2023,4,"Stracke, Jakubowski and Halvorson",6489.3568,12.307,8963.2,728.3,12.307,0.0019
Brazil,2024,1,Brown and Sons,10697.777,12.8541,12585.62,979.11,12.8541,0.0012
Brazil,2024,1,"Dach, Nicolas and Paucek",8161.6574,15.3164,12218.05,797.71,15.3164,0.0019
Brazil,2024,1,"Grant, Murphy and O'Kon",22770.695,39.7221,30394.66,1602.67,18.965,0.0017
Brazil,2024,1,Hickle Group,15259.1654,52.2949,28007.36,1126.27,24.8674,0.0034
Brazil,2024,1,Kirlin and Sons,7088.2905,57.8651,13871.41,239.72,57.8651,0.0082
Brazil,2024,1,Leannon Inc,8514.541,18.1548,17447.83,961.06,18.1548,0.0021
Brazil,2024,1,Marvin Group,25137.5184,1056.4719,33858.81,638.7,53.0121,0.042
Brazil,2024,1,"Mohr, Collier and Powlowski",8194.1472,49.9698,18837.12,376.97,49.9698,0.0061
Brazil,2024,1,"Nienow, Mitchell and Hamill",12102.4602,65.6168,16443.56,250.6,65.6168,0.0054
Brazil,2024,1,Pfeffer and Sons,12881.8977,41.1348,19313.19,469.51,41.1348,0.0032
Brazil,2024,1,Quigley and Sons,15988.7974,116.1702,33184.17,583.54,56.867,0.0073
Brazil,2024,1,Smitham-Collier,15573.899,59.9517,19589.81,326.76,59.9517,0.0038
Brazil,2024,1,Spencer-Emard,6211.9301,15.6506,11567.84,739.13,15.6506,0.0025
Brazil,2024,2,"Grant, Murphy and O'Kon",4328.8822,7.7674,6291.98,810.05,7.7674,0.0018
Brazil,2024,2,Marvin Group,2268.3612,12.9592,6407.8,494.46,12.9592,0.0057
Brazil,2024,2,"Mayer, Schaden and Yost",6820.4845,37.7041,15824.79,419.71,37.7041,0.0055
Brazil,2024,2,"Stracke, Jakubowski and Halvorson",12394.2723,21.7121,18307.64,843.2,21.7121,0.0018
Bulgaria,2022,2,Kris Group,11817.1673,41.2264,28047.84,1383.6,20.2716,0.0035
Bulgaria,2022,4,Kris Group,4925.936,19.1079,14445.56,756.0,19.1079,0.0039
Bulgaria,2022,4,Labadie Group,4391.6678,12.481,9284.71,743.91,12.481,0.0028
Bulgaria,2023,1,Labadie Group,4081.3254,8.6977,8467.48,973.53,8.6977,0.0021
Bulgaria,2023,2,Labadie Group,9540.9447,15.9477,10624.66,666.22,15.9477,0.0017
Bulgaria,2023,3,Fisher-Sanford,8436.203,317.2249,14852.47,46.82,317.2249,0.0376
Bulgaria,2023,3,Kris Group,6804.3164,31.4825,16759.4,532.34,31.4825,0.0046
Bulgaria,2023,3,Labadie Group,14996.8984,59.4174,26296.75,1143.59,22.9949,0.004
Bulgaria,2023,4,Fisher-Sanford,4073.286,22.2853,5097.98,228.76,22.2853,0.0055
Bulgaria,2023,4,Kris Group,7220.4828,39.3643,19080.76,967.27,19.7264,0.0055
Bulgaria,2024,1,Labadie Group,11091.7043,45.9518,18432.54,1194.77,15.4277,0.0041
Cambodia,2022,3,Keebler-Hilpert,2660.6884,14.477,8473.53,585.31,14.477,0.0054
Canada,2022,1,Beahan-Hickle,9964.0669,49.2588,17761.26,360.57,49.2588,0.0049
Canada,2022,1,Brown and Sons,9564.1981,14.8768,10746.29,722.35,14.8768,0.0016
Canada,2022,1,"Gerlach, Cassin and Parker",12657.9876,21.8725,17507.59,800.44,21.8725,0.0017
Canada,2022,1,Ortiz LLC,4390.3727,20.1973,9242.89,457.63,20.1973,0.0046
Canada,2022,1,Prosacco and Sons,8827.7943,293.0242,19837.74,67.7,293.0242,0.0332
Canada,2022,1,Welch LLC,5944.2425,10.9341,9556.66,874.02,10.9341,0.0018
Canada,2022,2,Dicki LLC,8732.4307,26.9797,10847.74,402.07,26.9797,0.0031
Canada,2022,2,"Gerlach, Cassin and Parker",4664.5675,17.0042,8496.48,499.67,17.0042,0.0036
Canada,2022,2,"Kuphal, Koelpin and Rowe",8150.6556,24.3947,15038.11,616.45,24.3947,0.003
Canada,2022,2,Mann Group,12970.0022,29.8398,17527.03,587.37,29.8398,0.0023
Canada,2022,2,Ortiz LLC,6127.462,15.0499,11140.84,740.26,15.0499,0.0025
Canada,2022,2,Quitzon and Sons,18192.5487,108.2321,28112.8,1226.66,22.9182,0.0059
Canada,2022,3,Beahan-Hickle,3856.1409,55.4426,9314.35,168.0,55.4426,0.0144
Canada,2022,3,"Jacobson, Koch and Emmerich",10765.7872,16.8537,15832.04,939.38,16.8537,0.0016
Canada,2022,3,O'Kon-Daniel,6518.106,335.2935,18105.85,54.0,335.2935,0.0514
Canada,2022,3,Paucek-Langworth,12396.1335,57.538,20388.41,759.7,26.8374,0.0046
Canada,2022,3,Prosacco and Sons,13111.303,17.5662,15299.07,870.94,17.5662,0.0013
Canada,2022,3,Quitzon and Sons,25183.037,1440.5468,33984.36,446.78,76.0651,0.0572
Canada,2022,3,"Schulist, O'Hara and Casper",13921.1218,24.5967,18536.78,753.63,24.5967,0.0018
Canada,2022,4,Brown and Sons,2102.873,8.7413,5018.79,574.15,8.7413,0.0042
Canada,2022,4,"Gerlach, Cassin and Parker",21748.7999,94.8613,34303.76,742.06,46.2277,0.0044
Canada,2022,4,Prosacco and Sons,15152.1887,74.5544,18683.34,250.6,74.5544,0.0049
Canada,2023,1,Beahan-Hickle,2571.3988,9.7409,7518.71,771.87,9.7409,0.0038
Canada,2023,1,"Gerlach, Cassin and Parker",5840.7437,17.7117,11167.77,630.53,17.7117,0.003
Canada,2023,1,Mann Group,8124.2786,25.85,16751.09,648.01,25.85,0.0032
Canada,2023,1,O'Kon-Daniel,2400.6678,14.9917,6077.64,405.4,14.9917,0.0062
Canada,2023,1,Prosacco and Sons,2511.6123,13.8807,5115.3,368.52,13.8807,0.0055
Canada,2023,1,"Schulist, O'Hara and Casper",12667.2652,47.3523,18807.66,1886.18,9.9713,0.0037
Canada,2023,1,"Sporer, Champlin and Mante",14555.0786,39.1186,19051.15,487.01,39.1186,0.0027
Canada,2023,2,Brown and Sons,6243.2664,12.3403,10617.8,860.42,12.3403,0.002
Canada,2023,2,Dicki LLC,7402.8209,44.4301,10168.71,228.87,44.4301,0.006
Canada,2023,2,"Jacobson, Koch and Emmerich",11791.4174,24.6983,19179.04,1574.0,12.1849,0.0021
Canada,2023,2,Mann Group,7368.0591,72.8316,18237.77,250.41,72.8316,0.0099
Canada,2023,2,Nader-Pacocha,11921.6623,52.707,26277.38,1030.32,25.5041,0.0044
Canada,2023,2,O'Kon-Daniel,3995.4657,12.1762,5790.53,475.56,12.1762,0.003
Canada,2023,2,Ortiz LLC,12565.3128,16.0701,14835.08,923.15,16.0701,0.0013
Canada,2023,2,Prosacco and Sons,9310.7866,88.2462,28301.19,711.56,39.7734,0.0095
Canada,2023,2,"Schulist, O'Hara and Casper",3712.5827,9.2994,5764.88,619.92,9.2994,0.0025
Canada,2023,3,Mann Group,10107.3302,240.072,18545.56,77.25,240.072,0.0238
Canada,2023,3,O'Kon-Daniel,7259.1096,41.3374,18660.95,451.43,41.3374,0.0057
Canada,2023,3,Prosacco and Sons,13260.2338,34.855,16806.38,482.18,34.855,0.0026
Canada,2023,3,Welch LLC,15434.5786,50.9838,18352.65,359.97,50.9838,0.0033
Canada,2023,4,Beahan-Hickle,4538.6387,47.3383,10176.32,214.97,47.3383,0.0104
Canada,2023,4,Brown and Sons,9112.7677,135.6033,19144.47,141.18,135.6033,0.0149
Canada,2023,4,"Cassin, Beer and Romaguera",16103.1368,42.2712,19193.25,454.05,42.2712,0.0026
Canada,2023,4,"Kuphal, Koelpin and Rowe",9293.9349,22.9903,16685.7,725.77,22.9903,0.0025
Canada,2023,4,Nader-Pacocha,11970.0559,63.3398,14743.09,503.34,29.2905,0.0053
Canada,2023,4,O'Kon-Daniel,11460.877,63.7483,17832.83,568.66,31.3594,0.0056
Canada,2023,4,Ortiz LLC,13285.7869,30.5101,23131.36,1526.0,15.1582,0.0023
Canada,2023,4,Prosacco and Sons,20682.3258,46.0579,29003.07,1467.11,19.7688,0.0022
Canada,2023,4,Quitzon and Sons,4255.2946,11.7295,10585.31,902.45,11.7295,0.0028
Canada,2024,1,"Gerlach, Cassin and Parker",14104.6769,32.1844,16156.56,502.0,32.1844,0.0023
Canada,2024,1,Mann Group,12167.1465,20.0427,17557.21,875.99,20.0427,0.0016
Canada,2024,1,Nader-Pacocha,5234.1498,24.3348,6617.13,271.92,24.3348,0.0046
Canada,2024,1,O'Kon-Daniel,9357.0886,251.7149,12263.55,48.72,251.7149,0.0269
Canada,2024,1,Ortiz LLC,2061.2707,7.3536,6303.58,857.21,7.3536,0.0036
Canada,2024,1,Prosacco and Sons,6949.1689,40.4104,14670.9,786.33,18.6574,0.0058
Canada,2024,1,"Sporer, Champlin and Mante",4668.0876,60.9246,13770.17,226.02,60.9246,0.0131
Central African Republic,2022,1,Kerluke LLC,14755.1925,22.8845,17359.05,758.55,22.8845,0.0016
Central African Republic,2023,1,Kerluke LLC,12188.3826,195.6546,24387.15,271.6,89.7907,0.0161
Central African Republic,2023,2,Kerluke LLC,27747.7937,58.1768,31960.68,1890.37,16.9071,0.0021
Central African Republic,2024,1,Kerluke LLC,12113.8301,23.2376,16194.96,696.93,23.2376,0.0019
China,2022,1,"Abshire, Turcotte and Hettinger",9702.0001,21.5642,13703.39,635.47,21.5642,0.0022
China,2022,1,"Altenwerth, Langosh and Krajcik",9895.4688,23.3639,13937.28,596.53,23.3639,0.0024
China,2022,1,Aufderhar-Doyle,7650.6426,40.1097,9948.82,248.04,40.1097,0.0052
China,2022,1,"Beahan, Mohr and Hyatt",19467.1126,129.1432,41656.05,2146.2,19.4092,0.0066
China,2022,1,"Bode, Cummerata and Johnson",9542.5315,17.2885,13364.89,773.05,17.2885,0.0018
China,2022,1,Buckridge LLC,19211.2796,399.9278,22571.6,196.3,114.9852,0.0208
China,2022,1,Cole-Fahey,7035.0929,74.8913,9455.77,126.26,74.8913,0.0106
China,2022,1,Collins and Sons,9548.5386,437.1191,14315.65,32.75,437.1191,0.0458
China,2022,1,Conn LLC,5294.8931,23.1254,15900.58,687.58,23.1254,0.0044
China,2022,1,Connelly LLC,36250.6035,162.0653,57889.96,2673.69,21.6517,0.0045
China,2022,1,Cremin-Borer,18621.6868,153.0137,32772.99,452.2,72.4745,0.0082
China,2022,1,Cremin-Welch,7794.8982,16.8285,14875.76,883.96,16.8285,0.0022
